date,regionnavn,tests,cases,pospct,rm
2020-04-04,Hovedstaden,2200,213,0.09681818181818182,0.08829531041822748
2020-04-05,Hovedstaden,1129,102,0.09034543844109831,0.0839587233727771
2020-04-06,Hovedstaden,2703,221,0.08176100628930817,0.07950404975691927
2020-04-07,Hovedstaden,2592,182,0.07021604938271606,0.07835156612900732
2020-04-08,Hovedstaden,2413,166,0.06879403232490676,0.07557837697506505
2020-04-09,Hovedstaden,1280,74,0.0578125,0.07599026513271549
2020-04-10,Hovedstaden,1076,89,0.08271375464684015,0.07877666748921579
2020-04-11,Hovedstaden,956,74,0.07740585774058577,0.07580437893433135
2020-04-12,Hovedstaden,1019,95,0.09322865554465162,0.07314360775421339
2020-04-13,Hovedstaden,948,96,0.10126582278481013,0.07114729138792016
2020-04-14,Hovedstaden,2712,134,0.049410029498525077,0.06582454721759234
2020-04-15,Hovedstaden,2372,119,0.050168634064080946,0.06302420585580759
2020-04-16,Hovedstaden,2053,90,0.043838285435947394,0.060167153880384024
2020-04-17,Hovedstaden,1936,88,0.045454545454545456,0.05315169326813428
2020-04-18,Hovedstaden,1038,60,0.057803468208092484,0.05045184051967984
2020-04-19,Hovedstaden,833,61,0.07322929171668667,0.04863155200786956
2020-04-20,Hovedstaden,2665,139,0.052157598499061916,0.046928210319451547
2020-04-21,Hovedstaden,3933,120,0.03051106025934401,0.04357914974147531
2020-04-22,Hovedstaden,4088,153,0.037426614481409,0.03768420146849346
2020-04-23,Hovedstaden,4324,138,0.031914893617021274,0.03040502011968426
2020-04-24,Hovedstaden,4316,95,0.02201112140871177,0.026152784025923363
2020-04-25,Hovedstaden,4172,69,0.01653883029721956,0.023953045628661962
2020-04-26,Hovedstaden,3367,75,0.022275022275022274,0.021159884987628014
2020-04-27,Hovedstaden,5761,129,0.022391945842735635,0.01917242204556079
2020-04-28,Hovedstaden,5492,83,0.015112891478514202,0.018139666754633
2020-04-29,Hovedstaden,5147,92,0.017874489994171364,0.01784633592438942
2020-04-30,Hovedstaden,5277,95,0.01800265302255069,0.016645015493213986
2020-05-01,Hovedstaden,5615,83,0.014781834372217275,0.01521370160562327
2020-05-02,Hovedstaden,4004,58,0.014485514485514486,0.014728551817515173
2020-05-03,Hovedstaden,3606,50,0.013865779256794232,0.014298360427322692
2020-05-04,Hovedstaden,6385,79,0.012372748629600626,0.013711768222418957
2020-05-05,Hovedstaden,6145,72,0.011716842961757526,0.01345397613252361
2020-05-06,Hovedstaden,5517,82,0.014863150262823999,0.013463799108646507
2020-05-07,Hovedstaden,5469,76,0.01389650758822454,0.013470733086242099
2020-05-08,Hovedstaden,4007,52,0.012977289742949838,0.01290590124559557
2020-05-09,Hovedstaden,3298,48,0.014554275318374773,0.012187724029127808
2020-05-10,Hovedstaden,2731,38,0.013914317099963384,0.011078992088139391
2020-05-11,Hovedstaden,5939,50,0.008418925745074928,0.01003292021952
2020-05-12,Hovedstaden,5232,35,0.0066896024464831805,0.009765107880393715
2020-05-13,Hovedstaden,5773,41,0.007102026675905075,0.008465382670359577
2020-05-14,Hovedstaden,5324,35,0.006574004507888805,0.008029329962215843
2020-05-15,Hovedstaden,5224,58,0.01110260336906585,0.008175513452434325
2020-05-16,Hovedstaden,3299,18,0.005456198848135798,0.008208904061589693
2020-05-17,Hovedstaden,2854,31,0.010861948142957253,0.008504482513280754
2020-05-18,Hovedstaden,5719,54,0.009442210176604302,0.008560859171437007
2020-05-19,Hovedstaden,5922,41,0.006923336710570753,0.008520915671942499
2020-05-20,Hovedstaden,5670,52,0.009171075837742505,0.008898681359239938
2020-05-21,Hovedstaden,3444,24,0.006968641114982578,0.008466481898411251
2020-05-22,Hovedstaden,4435,48,0.010822998872604284,0.008080726925818361
2020-05-23,Hovedstaden,3580,29,0.008100558659217877,0.00825209354643938
2020-05-24,Hovedstaden,3573,28,0.00783655191715645,0.008016438422668552
2020-05-25,Hovedstaden,6378,43,0.006741925368454061,0.0077742139319352315
2020-05-26,Hovedstaden,5663,46,0.008122903054917889,0.007064016899380776
2020-05-27,Hovedstaden,5584,42,0.007521489971346705,0.006874604038112326
2020-05-28,Hovedstaden,5310,28,0.005273069679849341,0.0064158986698620414
2020-05-29,Hovedstaden,4785,28,0.005851619644723093,0.006278964461449871
2020-05-30,Hovedstaden,3395,23,0.006774668630338734,0.0058312763641127224
2020-05-31,Hovedstaden,3459,16,0.004625614339404453,0.005592630981623952
2020-06-01,Hovedstaden,3804,22,0.0057833859095688745,0.00556300189039916
2020-06-02,Hovedstaden,6414,32,0.004989086373557842,0.005618719178271658
2020-06-03,Hovedstaden,5811,34,0.005850972293925314,0.005082265007049981
2020-06-04,Hovedstaden,5330,27,0.005065666041275798,0.004993709024371928
2020-06-05,Hovedstaden,4486,28,0.006241640659830584,0.004762578136235956
2020-06-06,Hovedstaden,3643,11,0.0030194894317869887,0.004497612705471829
2020-06-07,Hovedstaden,3495,14,0.004005722460658083,0.004089880295749285
2020-06-08,Hovedstaden,6962,29,0.004165469692617064,0.004111814672793393
2020-06-09,Hovedstaden,6700,21,0.003134328358208955,0.0037913166782221333
2020-06-10,Hovedstaden,6340,19,0.002996845425867508,0.00392215775477949
2020-06-11,Hovedstaden,6706,35,0.005219206680584551,0.00366250937574831
2020-06-12,Hovedstaden,6503,26,0.00399815469783177,0.003691360483138804
2020-06-13,Hovedstaden,4828,19,0.003935376967688484,0.0037461219528810894
2020-06-14,Hovedstaden,4113,9,0.002188183807439825,0.0040983292962147744
2020-06-15,Hovedstaden,7098,31,0.004367427444350521,0.004051052364191922
2020-06-16,Hovedstaden,7107,25,0.003517658646404953,0.003961699019018653
2020-06-17,Hovedstaden,7506,41,0.005462296829203304,0.004160054977621147
2020-06-18,Hovedstaden,7160,35,0.004888268156424581,0.0045524372694126375
2020-06-19,Hovedstaden,7116,24,0.003372681281618887,0.004613306252288818
2020-06-20,Hovedstaden,5635,30,0.005323868677905945,0.004253266713171605
2020-06-21,Hovedstaden,5066,25,0.00493485984998026,0.003753087260272513
2020-06-22,Hovedstaden,8136,39,0.004793510324483776,0.003418678971216347
2020-06-23,Hovedstaden,8021,8,9.973818725844657e-4,0.0032079435319609514
2020-06-24,Hovedstaden,7649,15,0.0019610406589096615,0.0026622136349024224
2020-06-25,Hovedstaden,7066,18,0.002547410133031418,0.0021369281756509744
2020-06-26,Hovedstaden,6324,12,0.0018975332068311196,0.0018514063381917813
2020-06-27,Hovedstaden,3990,6,0.0015037593984962407,0.0019199070310780522
2020-06-28,Hovedstaden,3975,5,0.0012578616352201257,0.0017705400037775177
2020-06-29,Hovedstaden,7156,20,0.002794857462269424,0.00174349474379033
